adm1,subdivision.name.de,subdivision.name.en,subdivision.name
DE-BW,Baden-Württemberg,Baden-Wurttemberg,Baden-Wurttemberg
DE-BY,Bayern,Bavaria,Bayern
DE-BE,Berlin,Berlin,Berlin
DE-BB,Brandenburg,Brandenburg,Brandenburg
DE-HB,Bremen,Bremen,Bremen
DE-HH,Hamburg,Hamburg,Hamburg
DE-HE,Hessen,Hesse,Hesse
DE-MV,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania,Mecklenburg-Western Pomerania
DE-NI,Niedersachsen,Lower Saxony,Niedersachsen
DE-NW,Nordrhein-Westfalen,North Rhine-Westphalia,Nordrhein-Westfalen
DE-RP,Rheinland-Pfalz,Rhineland-Palatinate,Rhineland-Pfalz
DE-SL,Saarland,Saarland,Saarland
DE-SN,Sachsen,Saxony,Saxony
DE-ST,Sachsen-Anhalt,Saxony-Anhalt,Saxony-Anhalt
DE-SH,Schleswig-Holstein,Schleswig-Holstein,Schleswig-Holstein
DE-TH,Thüringen,Thuringia,Thuringia
